,geo,affgeoid,PubTrans_16,MeanTime_16,UnempRate_16,OnlyHighSchool_16,OnlyBachelors_16,OnlyGraduate_16,VacancyPercent_16,RentalVacancyRate_16,MedianValue_16,RentMedian_16,MedianIncome_16,Median_income,LogUnempRate_16,LogRentalVacancy_16,LogVacancyRate_16,LogGraduate_16,LogBachelors_16,LogPubTrans_16,LogMedianValue_16
153,"Census Tract 68.05, Honolulu County, Hawaii",15003006805,7,25.1,2.7,21,37,10.1,7.3,1.00E-05,471100,1712,72342,72342,0.993251773,-11.51292546,1.987874348,2.312535424,3.610917913,1.945910149,13.06282566
154,"Census Tract 68.06, Honolulu County, Hawaii",15003006806,2.4,24.9,1.4,34.1,25.9,6.6,1.00E-05,1.00E-05,791700,3167,87381,87381,0.336472237,-11.51292546,-11.51292546,1.887069649,3.254242969,0.875468737,13.58193781
155,"Census Tract 68.08, Honolulu County, Hawaii",15003006808,11.2,24.5,3.7,31.3,21.3,6.9,7,1.00E-05,379400,1489,67910,67910,1.30833282,-11.51292546,1.945910149,1.931521412,3.058707073,2.415913778,12.84634634
156,"Census Tract 68.09, Honolulu County, Hawaii",15003006809,18.2,26.7,7.6,21.8,24.2,4.6,2.9,2.9,296400,1529,66875,66875,2.028148247,1.064710737,1.064710737,1.526056303,3.186352633,2.901421594,12.59946517
157,"Census Tract 69, Honolulu County, Hawaii",15003006900,1.00E-05,18,10,14.4,18.3,4.9,5.7,3,NA,2969,62415,62415,2.302585093,1.098612289,1.740466175,1.589235205,2.90690106,-11.51292546,NA
158,"Census Tract 70, Honolulu County, Hawaii",15003007000,0.8,18.7,10.9,18.7,16.2,2.3,5,3.4,NA,2670,55000,55000,2.388762789,1.223775432,1.609437912,0.832909123,2.785011242,-0.223143551,NA
159,"Census Tract 71, Honolulu County, Hawaii",15003007100,1.00E-05,13.4,5.4,12.7,16.1,8.2,1.1,1.1,NA,2861,77593,77593,1.686398954,0.09531018,0.09531018,2.104134154,2.778819272,-11.51292546,NA
160,"Census Tract 73.02, Honolulu County, Hawaii",15003007302,1.00E-05,13.1,4.8,8.8,33.1,23.1,9.7,3.2,NA,2779,72455,72455,1.568615918,1.16315081,2.272125886,3.139832618,3.499533282,-11.51292546,NA
161,"Census Tract 73.03, Honolulu County, Hawaii",15003007303,1.5,14.3,1.00E-05,58.5,11.7,1.00E-05,100,NA,NA,NA,NA,NA,-11.51292546,NA,4.605170186,-11.51292546,2.459588842,0.405465108,NA
162,"Census Tract 74, Honolulu County, Hawaii",15003007400,0.2,12.7,5.2,26.2,17.8,14.8,10.1,10.3,NA,3054,77109,77109,1.648658626,2.332143895,2.312535424,2.694627181,2.879198457,-1.609437912,NA
163,"Census Tract 75.02, Honolulu County, Hawaii",15003007502,1.00E-05,NA,1.00E-05,54.4,3.3,4.3,1.00E-05,1.00E-05,NA,NA,NA,NA,-11.51292546,-11.51292546,-11.51292546,1.458615023,1.193922468,-11.51292546,NA
164,"Census Tract 75.03, Honolulu County, Hawaii",15003007503,2.4,24.2,5.8,27.6,24.9,8.4,7,1.7,685100,1756,101029,101029,1.757857918,0.530628251,1.945910149,2.128231706,3.214867803,0.875468737,13.43732009
165,"Census Tract 75.04, Honolulu County, Hawaii",15003007504,19.5,28.8,6,45.3,10.5,2.5,0.6,1.00E-05,573000,783,59732,59732,1.791759469,-11.51292546,-0.510825624,0.916290732,2.351375257,2.970414466,13.258641
166,"Census Tract 75.05, Honolulu County, Hawaii",15003007505,5.4,26.9,1.2,27.9,21.3,7.8,5.1,10.7,599500,2174,101394,101394,0.182321557,2.370243741,1.62924054,2.054123734,3.058707073,1.686398954,13.30385125
167,"Census Tract 75.06, Honolulu County, Hawaii",15003007506,1.00E-05,20,6,9.4,25.2,33.7,1.00E-05,1.00E-05,NA,2925,87679,87679,1.791759469,-11.51292546,-11.51292546,3.517497837,3.226843995,-11.51292546,NA
168,"Census Tract 77.01, Honolulu County, Hawaii",15003007701,6,25.1,2.2,31.6,15.7,9.4,3.9,1.00E-05,675600,1844,97406,97406,0.78845736,-11.51292546,1.360976553,2.240709689,2.753660712,1.791759469,13.42335646
169,"Census Tract 77.02, Honolulu County, Hawaii",15003007702,5.6,27.8,5.1,19.3,28.6,17.7,10.4,1.00E-05,766100,2273,114219,114219,1.62924054,-11.51292546,2.341805806,2.87356464,3.353406718,1.722766598,13.54906799
170,"Census Tract 78.04, Honolulu County, Hawaii",15003007804,6,27,6.2,37.3,20.1,6.3,2,1.00E-05,631100,2335,102000,102000,1.824549292,-11.51292546,0.693147181,1.840549633,3.000719815,1.791759469,13.35521961
171,"Census Tract 78.05, Honolulu County, Hawaii",15003007805,6.9,29,5.5,23.2,21.6,5.5,3.4,6.1,373000,1806,87583,87583,1.704748092,1.808288771,1.223775432,1.704748092,3.072693315,1.931521412,12.8293337
172,"Census Tract 78.07, Honolulu County, Hawaii",15003007807,5.9,24.7,2.1,26.5,25.9,9.3,10.9,6.8,340400,1495,63036,63036,0.741937345,1.916922612,2.388762789,2.2300144,3.254242969,1.774952351,12.73787668
173,"Census Tract 78.08, Honolulu County, Hawaii",15003007808,9.2,29.5,3.9,38.8,11.4,5.6,2.1,1.00E-05,360800,1408,66068,66068,1.360976553,-11.51292546,0.741937345,1.722766598,2.433613355,2.219203484,12.79607907
174,"Census Tract 78.09, Honolulu County, Hawaii",15003007809,6.1,30.7,3.2,22.1,29.8,18.3,1.00E-05,1.00E-05,684700,2004,111042,111042,1.16315081,-11.51292546,-11.51292546,2.90690106,3.394508394,1.808288771,13.43673607
175,"Census Tract 78.10, Honolulu County, Hawaii",15003007810,4.9,30.1,2.9,16.2,31.3,18.3,1.7,1.00E-05,693500,2600,116217,116217,1.064710737,-11.51292546,0.530628251,2.90690106,3.443618098,1.589235205,13.44950652
176,"Census Tract 78.11, Honolulu County, Hawaii",15003007811,4.5,28.3,3.1,23.3,23.9,12.4,8.7,5.9,477700,2276,95802,95802,1.131402111,1.774952351,2.163323026,2.517696473,3.173878459,1.504077397,13.0767382
177,"Census Tract 80.01, Honolulu County, Hawaii",15003008001,19.2,29.9,8.9,31.7,12,4.1,4.9,1.00E-05,575400,921,46143,46143,2.186051277,-11.51292546,1.589235205,1.410986974,2.48490665,2.954910279,13.26282073
178,"Census Tract 80.02, Honolulu County, Hawaii",15003008002,2.6,27.8,1.8,34.6,16.7,6.7,6.1,1.00E-05,587500,1808,85833,85833,0.587786665,-11.51292546,1.808288771,1.902107526,2.815408719,0.955511445,13.28363153
179,"Census Tract 80.03, Honolulu County, Hawaii",15003008003,11.6,30.6,8.5,32.5,16,4.8,5.1,4.3,306700,1297,62083,62083,2.140066163,1.458615023,1.62924054,1.568615918,2.772588722,2.451005098,12.63362535
180,"Census Tract 80.05, Honolulu County, Hawaii",15003008005,5.8,35.6,4.4,37.5,18.1,10.2,2.2,1.00E-05,596500,2011,98864,98864,1.481604541,-11.51292546,0.78845736,2.32238772,2.895911938,1.757857918,13.29883452
