,geo,affgeoid,PubTrans_16,MeanTime_16,UnempRate_16,OnlyHighSchool_16,OnlyBachelors_16,OnlyGraduate_16,VacancyPercent_16,RentalVacancyRate_16,MedianValue_16,RentMedian_16,MedianIncome_16,Median_income,LogUnempRate_16,LogRentalVacancy_16,LogVacancyRate_16,LogGraduate_16,LogBachelors_16,LogPubTrans_16,LogMedianValue_16
300,"Census Tract 402.05, Kauai County, Hawaii",15007040205,0.6,22.7,7.4,27.1,21.2,10.6,29.1,15.9,474500,1465,60542,NA,2.00148,2.766319109,3.370738174,2.360854001,3.054001182,-0.510825624,13.0700169
301,"Census Tract 403, Kauai County, Hawaii",15007040300,0.9,27.5,6,32.3,16.6,6.9,23,13.3,438300,1289,69429,NA,1.791759469,2.587764035,3.135494216,1.931521412,2.809402695,-0.105360516,12.99065889
302,"Census Tract 404, Kauai County, Hawaii",15007040400,0.2,19.6,3.3,40,12,4.1,13.3,11,418600,1176,69205,NA,1.193922468,2.397895273,2.587764035,1.410986974,2.48490665,-1.609437912,12.94467109
303,"Census Tract 405, Kauai County, Hawaii",15007040500,0.5,16.7,4.2,39.1,13,14.3,11.3,1.00E-05,519300,1266,61350,NA,1.435084525,-11.51292546,2.424802726,2.660259537,2.564949357,-0.693147181,13.16023703
304,"Census Tract 406.03, Kauai County, Hawaii",15007040603,0.2,16.2,5.3,30,22.8,10.6,50.3,5.2,651200,1218,65104,NA,1.667706821,1.648658626,3.918005077,2.360854001,3.126760536,-1.609437912,13.38657209
305,"Census Tract 406.04, Kauai County, Hawaii",15007040604,0.5,21.1,7.5,24.5,23.1,7.6,26.7,8.1,588400,1263,61691,NA,2.014903021,2.091864062,3.284663565,2.028148247,3.139832618,-0.693147181,13.28516227
306,"Census Tract 407, Kauai County, Hawaii",15007040700,2.1,24.2,3.5,24.8,22.2,12.2,12.1,1.5,534500,1320,81241,NA,1.252762968,0.405465108,2.493205453,2.501435952,3.100092289,0.741937345,13.18908701
307,"Census Tract 408, Kauai County, Hawaii",15007040800,1.7,22.9,4.7,36.5,15.8,4.5,11.3,1.00E-05,393800,793,72321,NA,1.547562509,-11.51292546,2.424802726,1.504077397,2.76000994,0.530628251,12.88359845
308,"Census Tract 409, Kauai County, Hawaii",15007040900,0.7,25.8,7.1,31.2,15.4,6.3,27.7,8.9,383200,1145,60000,NA,1.960094784,2.186051277,3.321432413,1.840549633,2.734367509,-0.356674944,12.85631233
309,"Census Tract 412, Kauai County, Hawaii",15007041200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"Census Tract 9400, Kauai County, Hawaii",15007940000,2.8,27.9,8.3,38.3,16.6,9.7,22.1,26.1,585900,882,56184,NA,2.116255515,3.261935314,3.095577609,2.272125886,2.809402695,1.029619417,13.28090441
311,"Census Tract 9901, Kauai County, Hawaii",15007990100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"Census Tract 9902, Kauai County, Hawaii",15007990200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,"Census Tract 9903, Kauai County, Hawaii",15007990300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,"Census Tract 301, Maui County, Hawaii",15009030100,1.00E-05,15.7,8.5,43.4,16.3,7.8,36.3,24.3,432900,850,44700,NA,2.140066163,3.19047635,3.591817741,2.054123734,2.791165108,-11.51292546,12.97826203
315,"Census Tract 302.01, Maui County, Hawaii",15009030201,1.1,29.1,4.7,30.7,15.5,8.7,12.2,1.7,629400,1366,43682,NA,1.547562509,0.530628251,2.501435952,2.163323026,2.740840024,0.09531018,13.35252226
316,"Census Tract 302.02, Maui County, Hawaii",15009030202,1.00E-05,25.2,4.8,25.1,22.9,14.1,13.5,4.2,741600,1372,80453,NA,1.568615918,1.435084525,2.602689685,2.646174797,3.131136911,-11.51292546,13.51656529
317,"Census Tract 303.01, Maui County, Hawaii",15009030301,1.8,29.5,3.9,26.3,24.3,11.2,6.9,1.6,703300,1275,70098,NA,1.360976553,0.470003629,1.931521412,2.415913778,3.19047635,0.587786665,13.46353882
318,"Census Tract 303.03, Maui County, Hawaii",15009030303,1.4,24,4.3,16.9,28,20.1,56.8,62.4,1061100,1768,77662,NA,1.458615023,4.133565275,4.039536326,3.000719815,3.33220451,0.336472237,13.87481666
319,"Census Tract 304.02, Maui County, Hawaii",15009030402,2.3,26.4,4.5,28.1,15.9,10.1,7.7,2.4,611900,1244,80281,NA,1.504077397,0.875468737,2.041220329,2.312535424,2.766319109,0.832909123,13.32432415
320,"Census Tract 304.03, Maui County, Hawaii",15009030403,0.1,28.2,10.6,25.7,17.8,7.9,9,1.8,573700,1138,70179,NA,2.360854001,0.587786665,2.197224577,2.066862759,2.879198457,-2.302585093,13.25986189
321,"Census Tract 304.04, Maui County, Hawaii",15009030404,0.5,24.7,6.4,29.1,16.4,8.7,12,2.7,540300,1370,56111,NA,1.85629799,0.993251773,2.48490665,2.163323026,2.797281335,-0.693147181,13.19987982
322,"Census Tract 305.01, Maui County, Hawaii",15009030501,0.9,22.9,2.6,36.1,20.7,9,25.2,24.9,572900,2089,72083,NA,0.955511445,3.214867803,3.226843995,2.197224577,3.0301337,-0.105360516,13.25846646
323,"Census Tract 307.05, Maui County, Hawaii",15009030705,1.00E-05,19.2,7.7,34.7,14.3,3.3,17.2,7.8,424200,1097,85938,NA,2.041220329,2.054123734,2.844909384,1.193922468,2.660259537,-11.51292546,12.95796032
324,"Census Tract 307.06, Maui County, Hawaii",15009030706,3.9,21.6,6.3,29.5,20.5,5.4,21.3,14,390500,1382,61574,NA,1.840549633,2.63905733,3.058707073,1.686398954,3.020424886,1.360976553,12.87518325
325,"Census Tract 307.07, Maui County, Hawaii",15009030707,2.7,23,8.2,31.7,16.7,8,25.3,27.6,467000,1599,72163,NA,2.104134154,3.317815773,3.230804396,2.079441542,2.815408719,0.993251773,13.05408454
326,"Census Tract 307.08, Maui County, Hawaii",15009030708,2,20.7,3.2,28,15.1,7.7,26.2,15.4,599900,1196,62404,NA,1.16315081,2.734367509,3.265759411,2.041220329,2.714694744,0.693147181,13.30451825
327,"Census Tract 307.09, Maui County, Hawaii",15009030709,0.7,17.7,6.7,20.8,26.1,12.1,56.5,58.2,500900,1410,51788,NA,1.902107526,4.063885355,4.034240638,2.493205453,3.261935314,-0.356674944,13.12416176
328,"Census Tract 307.10, Maui County, Hawaii",15009030710,3.1,17.9,6,16.5,27.8,9.7,60.9,74.8,576000,2033,60547,NA,1.791759469,4.314817885,4.109233175,2.272125886,3.325036021,1.131402111,13.26386294
329,"Census Tract 308, Maui County, Hawaii",15009030800,0.3,21.8,6.1,32.7,17.2,9.5,6.1,1.00E-05,489200,1485,92500,NA,1.808288771,-11.51292546,1.808288771,2.251291799,2.844909384,-1.203972804,13.10052668
330,"Census Tract 309.01, Maui County, Hawaii",15009030901,0.2,16.2,19.5,29.3,12.8,2.2,8.1,1.5,402200,818,35610,NA,2.970414466,0.405465108,2.091864062,0.78845736,2.549445171,-1.609437912,12.90470476
331,"Census Tract 309.02, Maui County, Hawaii",15009030902,4.8,24.3,8.5,29.9,12.4,9.2,6.1,2.1,325300,1391,64125,NA,2.140066163,0.741937345,1.808288771,2.219203484,2.517696473,1.568615918,12.69250311
332,"Census Tract 309.03, Maui County, Hawaii",15009030903,4,22.1,5.4,39.7,12.6,4.6,3.3,5.8,432300,1253,81220,NA,1.686398954,1.757857918,1.193922468,1.526056303,2.533696814,1.386294361,12.97687507
333,"Census Tract 310, Maui County, Hawaii",15009031000,2.8,21.7,4.4,25.3,18.1,14.1,9.8,5.5,520800,1055,76231,NA,1.481604541,1.704748092,2.282382386,2.646174797,2.895911938,1.029619417,13.16312137
334,"Census Tract 311.01, Maui County, Hawaii",15009031101,7.6,21,8.8,37.7,10.6,6.2,6.8,1.00E-05,481800,1087,67938,NA,2.174751721,-11.51292546,1.916922612,1.824549292,2.360854001,2.028148247,13.08528437
335,"Census Tract 311.02, Maui County, Hawaii",15009031102,4.3,22.3,4.6,44.2,7.5,5.3,13.1,17.5,489900,994,65690,NA,1.526056303,2.862200881,2.57261223,1.667706821,2.014903021,1.458615023,13.10195657
336,"Census Tract 311.03, Maui County, Hawaii",15009031103,4.5,21.2,8.5,37.3,18,4,3.3,1.00E-05,502200,1157,86094,NA,2.140066163,-11.51292546,1.193922468,1.386294361,2.890371758,1.504077397,13.12675373
337,"Census Tract 314.02, Maui County, Hawaii",15009031402,0.6,13.6,4.8,35.8,18.5,2.7,16.1,11.7,553300,1473,79130,NA,1.568615918,2.459588842,2.778819272,0.993251773,2.917770732,-0.510825624,13.22365563
338,"Census Tract 314.04, Maui County, Hawaii",15009031404,0.6,14.1,5.1,40.4,17.7,5.8,26,13.2,588500,1313,64189,NA,1.62924054,2.58021683,3.258096538,1.757857918,2.87356464,-0.510825624,13.28533221
339,"Census Tract 314.05, Maui County, Hawaii",15009031405,5.2,17.5,4.6,39.9,15.7,2.8,5.3,6.3,536900,1255,70428,NA,1.526056303,1.840549633,1.667706821,1.029619417,2.753660712,1.648658626,13.19356714
340,"Census Tract 315.01, Maui County, Hawaii",15009031501,3.1,15.7,3.5,33.3,15.9,3.6,56.7,63.8,511700,1731,70000,NA,1.252762968,4.15575319,4.037774211,1.280933845,2.766319109,1.131402111,13.14549379
341,"Census Tract 315.02, Maui County, Hawaii",15009031502,2.8,14.5,2.3,24.1,27.5,6.7,37.5,39.2,410500,1627,65724,NA,0.832909123,3.668676747,3.624340933,1.902107526,3.314186005,1.029619417,12.92513121
342,"Census Tract 315.03, Maui County, Hawaii",15009031503,4.7,14,3.2,22.9,24.4,9.2,59.1,60.6,1035100,1353,46467,NA,1.16315081,4.104294893,4.079230924,2.219203484,3.194583132,1.547562509,13.8500086
343,"Census Tract 316.01, Maui County, Hawaii",15009031601,1.3,9.4,5.6,36.6,17.4,5.5,18.3,8.5,373100,1015,51156,NA,1.722766598,2.140066163,2.90690106,1.704748092,2.856470206,0.262364264,12.82960176
344,"Census Tract 317, Maui County, Hawaii",15009031700,0.6,10.5,4.5,38.3,11.7,5.2,24.9,21.3,297900,747,40634,NA,1.504077397,3.058707073,3.214867803,1.648658626,2.459588842,-0.510825624,12.60451314
345,"Census Tract 318.01, Maui County, Hawaii",15009031801,1.3,17.5,11.6,37.7,11,10.6,39.7,28.2,216800,851,37260,NA,2.451005098,3.339321978,3.681351188,2.360854001,2.397895273,0.262364264,12.28673055
346,"Census Tract 319, Maui County, Hawaii",15009031900,4.7,18.1,6.1,35.5,10.6,4.1,11.2,8.9,516400,1478,60850,NA,1.808288771,2.186051277,2.415913778,1.410986974,2.360854001,1.547562509,13.15463694
347,"Census Tract 320, Maui County, Hawaii",15009032000,0.4,21.3,2.1,15.9,31.2,17.6,52,56.8,681400,1470,83281,NA,0.741937345,4.039536326,3.951243719,2.867898902,3.440418095,-0.916290732,13.43190478
348,"Census Tract 9800, Maui County, Hawaii",15009980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,"Census Tract 9900, Maui County, Hawaii",15009990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,"Census Tract 9902, Maui County, Hawaii",15009990200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,"Census Tract 9912, Maui County, Hawaii",15009991200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
